Authors,Author(s) ID,Title,Year,Source title,Cited by,DOI,Link,Document Type,Publication Stage,Access Type,Source,EID
"Jaskowiak P.A., Campello R.J.G.B., Costa I.G.",37020111100;6602121271;57061996900;,On the selection of appropriate distances for gene expression data clustering,2014,BMC Bioinformatics,62,10.1186/1471-2105-15-S2-S2,https://www.scopus.com/inward/record.uri?eid=2-s2.0-84901256826&doi=10.1186%2f1471-2105-15-S2-S2&partnerID=40&md5=84e141017f692e3032dae328d0847420,Article,Final,1,Scopus,2-s2.0-84901256826
Sun S.,8892785100;,A survey of multi-view machine learning,2013,Neural Computing and Applications,449,10.1007/s00521-013-1362-6,https://www.scopus.com/inward/record.uri?eid=2-s2.0-84887452388&doi=10.1007%2fs00521-013-1362-6&partnerID=40&md5=3ca87ceebfc6ad1ad90edc7e92059092,Review,Final,0,Scopus,2-s2.0-84887452388
"Heinnickel M.L., Grossman A.R.",8701373700;7202301923;,The GreenCut: Re-evaluation of physiological role of previously studied proteins and potential novel protein functions,2013,Photosynthesis Research,25,10.1007/s11120-013-9882-6,https://www.scopus.com/inward/record.uri?eid=2-s2.0-84887502965&doi=10.1007%2fs11120-013-9882-6&partnerID=40&md5=098050bccd238e943fb611c7cdd9c746,Review,Final,0,Scopus,2-s2.0-84887502965
"Bengio Y., Courville A., Vincent P.",7003958245;6507291186;57203214842;,Representation learning: A review and new perspectives,2013,IEEE Transactions on Pattern Analysis and Machine Intelligence,4175,10.1109/TPAMI.2013.50,https://www.scopus.com/inward/record.uri?eid=2-s2.0-84879854889&doi=10.1109%2fTPAMI.2013.50&partnerID=40&md5=92867e41fa47332f88fba4e8d594fbaa,Article,Final,0,Scopus,2-s2.0-84879854889
"Martínez J., Pla N., Vigo M.",55476496000;6506970859;7006386974;,Skeletal representations of orthogonal shapes,2013,Graphical Models,8,10.1016/j.gmod.2013.03.005,https://www.scopus.com/inward/record.uri?eid=2-s2.0-84876725875&doi=10.1016%2fj.gmod.2013.03.005&partnerID=40&md5=602658f2f8064b0818bf43029b66897f,Article,Final,0,Scopus,2-s2.0-84876725875
Lawrence N.D.,9279186200;,A unifying probabilistic perspective for spectral dimensionality reduction: Insights and new models,2012,Journal of Machine Learning Research,25,,https://www.scopus.com/inward/record.uri?eid=2-s2.0-84862001101&partnerID=40&md5=ecbb1e098b4e3ba70c20cd25c6b37301,Article,Final,0,Scopus,2-s2.0-84862001101
"Kirst H., García-Cerdán J.G., Zurbriggen A., Melis A.",54949883000;15051580100;57214260924;57203081985;,Assembly of the light-harvesting chlorophyll antenna in the green alga Chlamydomonas reinhardtii requires expression of the TLA2-CpFTSY gene,2012,Plant Physiology,57,10.1104/pp.111.189910,https://www.scopus.com/inward/record.uri?eid=2-s2.0-84856569052&doi=10.1104%2fpp.111.189910&partnerID=40&md5=70fd022bc73e54a3b696660b1982dd94,Article,Final,1,Scopus,2-s2.0-84856569052
"Elhamifar E., Vidal R.",15063997300;12770045600;,Sparse manifold clustering and embedding,2011,"Advances in Neural Information Processing Systems 24: 25th Annual Conference on Neural Information Processing Systems 2011, NIPS 2011",180,,https://www.scopus.com/inward/record.uri?eid=2-s2.0-84860601841&partnerID=40&md5=f6a995b282a26e21bcee4e797e33bdb5,Conference Paper,Final,0,Scopus,2-s2.0-84860601841
"Minh H.Q., Sindhwani V.",35234381000;14822592800;,Vector-valued manifold regularization,2011,"Proceedings of the 28th International Conference on Machine Learning, ICML 2011",25,,https://www.scopus.com/inward/record.uri?eid=2-s2.0-80053444449&partnerID=40&md5=f9591987a507b7b499379236e0523978,Conference Paper,Final,0,Scopus,2-s2.0-80053444449
"Karpowicz S.J., Prochnik S.E., Grossman A.R., Merchant S.S.",35314290000;6508371786;7202301923;7102344014;,"The greenCut2 resource, a phylogenomically derived inventory of proteins specific to the plant lineage",2011,Journal of Biological Chemistry,71,10.1074/jbc.M111.233734,https://www.scopus.com/inward/record.uri?eid=2-s2.0-79958730092&doi=10.1074%2fjbc.M111.233734&partnerID=40&md5=d2322348233a27c3c54564da45e0436b,Article,Final,1,Scopus,2-s2.0-79958730092
"Liao Q., Liu C., Yuan X., Kang S., Miao R., Xiao H., Zhao G., Luo H., Bu D., Zhao H., Skogerbø G., Wu Z., Zhao Y.",31367468000;7409790960;33867835700;55492800200;34872898300;57199793479;39661427700;39661209000;7003550200;8356306100;6508034275;8909314700;56510664100;,Large-scale prediction of long non-coding RNA functions in a coding-non-coding gene co-expression network,2011,Nucleic Acids Research,383,10.1093/nar/gkq1348,https://www.scopus.com/inward/record.uri?eid=2-s2.0-79956010263&doi=10.1093%2fnar%2fgkq1348&partnerID=40&md5=b42434275960b1c9529da20beccd7b94,Article,Final,1,Scopus,2-s2.0-79956010263
"Lefebvre C., Rajbhandari P., Alvarez M.J., Bandaru P., Lim W.K., Sato M., Wang K., Sumazin P., Kustagi M., Bisikirska B.C., Basso K., Beltrao P., Krogan N., Gautier J., Dalla-Favera R., Califano A.",18536386900;35316296700;57194222463;36240342500;18536137800;36240826600;55547129935;6602713902;21743015400;6505904288;6506029170;23494578700;6603946841;16184518000;7102566685;7005602032;,A human B-cell interactome identifies MYB and FOXM1 as master regulators of proliferation in germinal centers,2010,Molecular Systems Biology,209,10.1038/msb.2010.31,https://www.scopus.com/inward/record.uri?eid=2-s2.0-77953255983&doi=10.1038%2fmsb.2010.31&partnerID=40&md5=09b36cd6c7a2b332990e069ea00ab937,Article,Final,1,Scopus,2-s2.0-77953255983
"Narayanan M., Vetta A., Schadt E.E., Zhu J.",35730193800;6601970306;6701604029;57211132520;,Simultaneous clustering of multiple gene expression and physical interaction datasets,2010,PLoS Computational Biology,32,10.1371/journal.pcbi.1000742,https://www.scopus.com/inward/record.uri?eid=2-s2.0-77954607438&doi=10.1371%2fjournal.pcbi.1000742&partnerID=40&md5=60311222d35e9cbbdbc073435b464e63,Article,Final,1,Scopus,2-s2.0-77954607438
"Mattick J.S., Taft R.J., Faulkner G.J.",7005637143;15729584000;7005753376;,A global view of genomic information - moving beyond the gene and the master regulator,2010,Trends in Genetics,150,10.1016/j.tig.2009.11.002,https://www.scopus.com/inward/record.uri?eid=2-s2.0-72449129174&doi=10.1016%2fj.tig.2009.11.002&partnerID=40&md5=652a932d93758feaca057c8ff233df03,Review,Final,0,Scopus,2-s2.0-72449129174
"Wang C., Mahadevan S.",56023834700;7102521062;,A general framework for manifold alignment,2009,AAAI Fall Symposium - Technical Report,49,,https://www.scopus.com/inward/record.uri?eid=2-s2.0-77954229750&partnerID=40&md5=788f29f936204f3202527e150070d4fc,Conference Paper,Final,0,Scopus,2-s2.0-77954229750
"Celniker S.E., Dillon L.A.L., Gerstein M.B., Gunsalus K.C., Henikoff S., Karpen G.H., Kellis M., Lai E.C., Lieb J.D., MacAlpine D.M., Micklem G., Piano F., Snyder M., Stein L., White K.P., Waterston R.H.",6603960607;26656615800;24755400900;6602609689;7101924631;7004042930;6602385400;55156015600;7005815585;6602824454;6602388532;6601921091;57202452790;7202575097;55574242899;7006420348;,Unlocking the secrets of the genome,2009,Nature,537,10.1038/459927a,https://www.scopus.com/inward/record.uri?eid=2-s2.0-67649292737&doi=10.1038%2f459927a&partnerID=40&md5=c5f953fd146014d27827b29ce3fd8253,Review,Final,1,Scopus,2-s2.0-67649292737
"Liao C.-S., Lu K., Baym M., Singh R., Berger B.",7401957471;56225268800;24467246000;12141071500;7201838430;,IsoRankN: Spectral methods for global alignment of multiple protein networks,2009,Bioinformatics,240,10.1093/bioinformatics/btp203,https://www.scopus.com/inward/record.uri?eid=2-s2.0-66349108229&doi=10.1093%2fbioinformatics%2fbtp203&partnerID=40&md5=bed78836d5298992b01c56e4bbfd64e9,Conference Paper,Final,1,Scopus,2-s2.0-66349108229
"Langfelder P., Horvath S.",6506294054;34770388700;,WGCNA: An R package for weighted correlation network analysis,2008,BMC Bioinformatics,4793,10.1186/1471-2105-9-559,https://www.scopus.com/inward/record.uri?eid=2-s2.0-60549111634&doi=10.1186%2f1471-2105-9-559&partnerID=40&md5=686e2b343821a617ed26a862609bcb52,Article,Final,1,Scopus,2-s2.0-60549111634
"Singh R., Xu J., Berger B.",12141071500;57203521425;7201838430;,Global alignment of multiple protein interaction networks with application to functional orthology detection,2008,Proceedings of the National Academy of Sciences of the United States of America,326,10.1073/pnas.0806627105,https://www.scopus.com/inward/record.uri?eid=2-s2.0-51349087811&doi=10.1073%2fpnas.0806627105&partnerID=40&md5=a099523f7cec10c89cfd30673f8a77f2,Article,Final,1,Scopus,2-s2.0-51349087811
"Zeng X., Pei J., Vergara I.A., Nesbitt M.J., Wang K., Chen N.",24176154600;35273378100;22836776100;24176425900;55712748700;55573104300;,OrthoCluster: A new tool for mining synteny blocks and applications in comparative genomics,2008,"Advances in Database Technology - EDBT 2008 - 11th International Conference on Extending Database Technology, Proceedings",33,10.1145/1353343.1353423,https://www.scopus.com/inward/record.uri?eid=2-s2.0-43349085865&doi=10.1145%2f1353343.1353423&partnerID=40&md5=4a16a0b6a00f972f1f35d62a77278265,Conference Paper,Final,0,Scopus,2-s2.0-43349085865
"Sindhwani V., Rosenberg D.S.",14822592800;16686678800;,An RKHS for multi-view learning and manifold co-regularization,2008,Proceedings of the 25th International Conference on Machine Learning,165,10.1145/1390156.1390279,https://www.scopus.com/inward/record.uri?eid=2-s2.0-56449131204&doi=10.1145%2f1390156.1390279&partnerID=40&md5=8fb85735a0776c04d17ea8f8960619b4,Conference Paper,Final,0,Scopus,2-s2.0-56449131204
"Härdle W., Simar L.",6701684466;7006679450;,Applied multivariate statistical analysis: Second edition,2007,Applied Multivariate Statistical Analysis: Second Edition,478,10.1007/978-3-540-72244-1,https://www.scopus.com/inward/record.uri?eid=2-s2.0-84892246737&doi=10.1007%2f978-3-540-72244-1&partnerID=40&md5=cc4fc879f9f224a9b268a6c459dc5dfd,Book,Final,0,Scopus,2-s2.0-84892246737
"Merchant S.S., Prochnik S.E., Vallon O., Harris E.H., Karpowicz S.J., Witman G.B., Terry A., Salamov A., Fritz-Laylin L.K., Maréchal-Drouard L., Marshall W.F., Qu L.-H., Nelson D.R., Sanderfoot A.A., Spalding M.H., Kapitonov V.V., Ren Q., Ferris P., Lindquist E., Shapiro H., Lucas S.M., Grimwood J., Schmutz J., Grigoriev I.V., Rokhsar D.S., Grossman A.R., Cardol P., Cerutti H., Chanfreau G., Chen C.-L., Cognat V., Croft M.T., Dent R., Dutcher S., Fernández E., Fukuzawa H., González-Ballester D., González-Halphen D., Hallmann A., Hanikenne M., Hippler M., Inwood W., Jabbari K., Kalanon M., Kuras R., Lefebvre P.A., Lemaire S.D., Lobanov A.V., Lohr M., Manuell A., Meier I., Mets L., Mittag M., Mittelmeier T., Moroney J.V., Moseley J., Napoli C., Nedelcu A.M., Niyogi K., Novoselov S.V., Paulsen I.T., Pazour G., Purton S., Ral J.-P., Riaño-Pachón D.M., Riekhof W., Rymarquis L., Schroda M., Stern D., Umen J., Willows R., Wilson N., Zimmer S.L., Allmer J., Balk J., Bisova K., Chen C.-J., Elias M., Gendler K., Hauser C., Lamb M.R., Ledford H., Long J.C., Minagawa J., Page M.D., Pan J., Pootakham W., Roje S., Rose A., Stahlberg E., Terauchi A.M., Yang P., Ball S., Bowler C., Dieckmann C.L., Gladyshev V.N., Green P., Jorgensen R., Mayfield S., Mueller-Roeber B., Rajamani S., Sayre R.T., Brokstein P., Dubchak I., Goodstein D., Hornick L., Huang Y.W., Jhaveri J., Luo Y., Martínez D., Ngau W.C.A., Otillar B., Poliakov A., Porter A., Szajkowski L., Werner G., Zhou K.",7102344014;6508371786;55994884800;35611035100;35314290000;7006593428;7101719325;7003657563;8977694600;7003274230;55628335800;7103292439;55464966000;6602598370;7004584271;7006217715;7101800116;7004516662;34571433600;13103727500;7202090984;7003476610;56549573500;25027225800;7004149813;7202301923;7801585004;6604020320;6701433020;57213375265;24830494200;9248959100;8369439900;7003962500;7402179193;7006793476;8336650200;7003307981;6603706792;8338862500;56254003700;6508061214;6701849174;22835193500;6603831726;7402340633;7101831562;35254027300;7004491480;8707234700;7005623189;6701820953;7004231812;6507272088;7004956699;7102814535;7006538602;7004067797;7003777478;7003441884;7006799662;6603731355;6701719502;6506361607;8609853200;6508333317;8409715900;6602966539;57202970888;6602368052;6603744067;7402218533;8698732400;24821311300;6701727591;6506370888;57203595705;57217110656;16743782100;56821087600;8092098800;26021320000;35314349200;7004033199;15221394200;55459047700;10839492800;6506809153;7201500070;8974986200;14061327000;7403932072;9040227800;7006304415;7006845577;7004407393;35584997500;55405680900;7006416546;6701772690;57205781696;7006406298;6602218397;7004361127;7003689066;35314320800;35314315000;26531238000;35314369200;7202958664;6506561280;57210053780;57216905026;35314390700;22836648700;16551286300;55725414800;,The Chlamydomonas genome reveals the evolution of key animal and plant functions,2007,Science,1651,10.1126/science.1143609,https://www.scopus.com/inward/record.uri?eid=2-s2.0-35348896591&doi=10.1126%2fscience.1143609&partnerID=40&md5=1b877c388122161c59a3e538e81ad177,Article,Final,1,Scopus,2-s2.0-35348896591
"Yip A.M., Horvath S.",7004871362;34770388700;,Gene network interconnectedness and the generalized topological overlap measure,2007,BMC Bioinformatics,307,10.1186/1471-2105-8-22,https://www.scopus.com/inward/record.uri?eid=2-s2.0-33847129641&doi=10.1186%2f1471-2105-8-22&partnerID=40&md5=48c0cc8918d4e45da32ffb39abdd1ffa,Article,Final,1,Scopus,2-s2.0-33847129641
"Belkin M., Niyogi P., Sindhwani V.",57205523518;7004259002;14822592800;,Manifold regularization: A geometric framework for learning from labeled and unlabeled examples,2006,Journal of Machine Learning Research,2552,,https://www.scopus.com/inward/record.uri?eid=2-s2.0-33750729556&partnerID=40&md5=02909c0cc31bdebc709cfdc551e272db,Article,Final,0,Scopus,2-s2.0-33750729556
"Ham J., Lee D.D., Saul L.K.",8289782000;7406662803;7005701303;,Semisupervised alignment of manifolds,2005,AISTATS 2005 - Proceedings of the 10th International Workshop on Artificial Intelligence and Statistics,192,,https://www.scopus.com/inward/record.uri?eid=2-s2.0-84862595041&partnerID=40&md5=908fa165525ce12b9cb15fd4ead4ee8f,Conference Paper,Final,0,Scopus,2-s2.0-84862595041
"Zhang B., Horvath S.",57219041968;34770388700;,A general framework for weighted gene co-expression network analysis,2005,Statistical Applications in Genetics and Molecular Biology,2215,10.2202/1544-6115.1128,https://www.scopus.com/inward/record.uri?eid=2-s2.0-23944458138&doi=10.2202%2f1544-6115.1128&partnerID=40&md5=0df0cb8f5830e4ec337f6b7beb71ea91,Article,Final,0,Scopus,2-s2.0-23944458138
"Pazour G.J., Agrin N., Leszyk J., Witman G.B.",6603731355;8627715300;6701698244;7006593428;,Proteomic analysis of a eukaryotic cilium,2005,Journal of Cell Biology,699,10.1083/jcb.200504008,https://www.scopus.com/inward/record.uri?eid=2-s2.0-22244458310&doi=10.1083%2fjcb.200504008&partnerID=40&md5=830bcbfda973687fd1df5d05bd0e6dba,Article,Final,1,Scopus,2-s2.0-22244458310
"Carter S.L., Brechbühler C.M., Griffin M., Bond A.T.",57216598179;57092713000;7403310602;57213527410;,Gene co-expression network topology provides a framework for molecular characterization of cellular state,2004,Bioinformatics,229,10.1093/bioinformatics/bth234,https://www.scopus.com/inward/record.uri?eid=2-s2.0-5044245707&doi=10.1093%2fbioinformatics%2fbth234&partnerID=40&md5=f2ea587b5bca0557576a6074a1380f07,Article,Final,1,Scopus,2-s2.0-5044245707
"Thimm O., Bläsing O., Gibon Y., Nagel A., Meyer S., Krüger P., Selbig J., Müller L.A., Rhee S.Y., Stitt M.",8292098500;6603496543;6603662917;11940137200;11940242300;56465472500;6701666717;57214558812;57208120586;57204302856;,MAPMAN: A user-driven tool to display genomics data sets onto diagrams of metabolic pathways and other biological processes,2004,Plant Journal,2112,10.1111/j.1365-313X.2004.02016.x,https://www.scopus.com/inward/record.uri?eid=2-s2.0-12144291195&doi=10.1111%2fj.1365-313X.2004.02016.x&partnerID=40&md5=e5c1a0fd54835932f6eed8377e60f202,Article,Final,0,Scopus,2-s2.0-12144291195
"Belkin M., Niyogi P.",57205523518;7004259002;,Laplacian eigenmaps for dimensionality reduction and data representation,2003,Neural Computation,4785,10.1162/089976603321780317,https://www.scopus.com/inward/record.uri?eid=2-s2.0-0042378381&doi=10.1162%2f089976603321780317&partnerID=40&md5=b185b32b66811167dc980ae584a2319e,Article,Final,0,Scopus,2-s2.0-0042378381
"Aggarwal C.C., Hinneburg A., Keim D.A.",7006797289;6602329782;34769953100;,On the surprising behavior of distance metrics in high dimensional space,2001,Lecture Notes in Computer Science (including subseries Lecture Notes in Artificial Intelligence and Lecture Notes in Bioinformatics),711,10.1007/3-540-44503-x_27,https://www.scopus.com/inward/record.uri?eid=2-s2.0-84949479246&doi=10.1007%2f3-540-44503-x_27&partnerID=40&md5=995b82f2bfe2d898a908286c65695b39,Conference Paper,Final,0,Scopus,2-s2.0-84949479246
"Ketchen Jr. D.J., Shook C.L.",7003588673;7006184017;,The application of cluster analysis in strategic management research: An analysis and critique,1996,Strategic Management Journal,1250,10.1002/(sici)1097-0266(199606)17:6<441::aid-smj819>3.0.co;2-g,https://www.scopus.com/inward/record.uri?eid=2-s2.0-0030373901&doi=10.1002%2f%28sici%291097-0266%28199606%2917%3a6%3c441%3a%3aaid-smj819%3e3.0.co%3b2-g&partnerID=40&md5=0a19622a47c761e76b27965acfcef7e5,Article,Final,0,Scopus,2-s2.0-0030373901
